Date,Mkt-RF,SMB,HML,RF
202205,   -0.34,   -1.83,    8.39,    0.03
202206,   -8.43,    2.10,   -5.97,    0.06
202207,    9.57,    2.81,   -4.05,    0.08
202208,   -3.77,    1.40,    0.29,    0.19
202209,   -9.35,   -0.81,    0.05,    0.19
202210,    7.83,    0.06,    8.01,    0.23
202211,    4.60,   -3.52,    1.38,    0.29
202212,   -6.41,   -0.69,    1.37,    0.33
202301,    6.65,    5.01,   -4.01,    0.35
202302,   -2.58,    1.17,   -0.81,    0.34
202303,    2.51,   -5.51,   -8.85,    0.36
202304,    0.61,   -3.35,   -0.04,    0.35
202305,    0.35,    1.61,   -7.72,    0.36
202306,    6.46,    1.54,   -0.26,    0.40
202307,    3.21,    2.08,    4.11,    0.45
202308,   -2.39,   -3.16,   -1.06,    0.45
202309,   -5.24,   -2.51,    1.52,    0.43
202310,   -3.19,   -3.87,    0.19,    0.47
202311,    8.84,   -0.02,    1.64,    0.44
202312,    4.85,    6.35,    4.94,    0.43
